target,text,num_characters,num_words,num_sentences,transformed_text
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,24,2,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
0,Ok lar... Joking wif u oni...,29,8,2,ok lar joke wif u oni
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,37,2,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18
0,U dun say so early hor... U c already then say...,49,13,1,u dun say earli hor u c alreadi say
0,"Nah I don't think he goes to usf, he lives around here though",61,15,1,nah think goe usf live around though
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148,39,4,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv
0,Even my brother is not like to speak with me. They treat me like aids patent.,77,18,2,even brother like speak treat like aid patent
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,31,2,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158,32,5,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,31,3,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,28,2,gon na home soon want talk stuff anymor tonight k cri enough today
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,31,3,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,32,3,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,41,3,search right word thank breather promis wont take help grant fulfil promis wonder bless time
0,I HAVE A DATE ON SUNDAY WITH WILL!!,35,10,2,date sunday
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,28,2,xxxmobilemovieclub use credit click wap link next txt messag click http
0,Oh k...i'm watching here:),26,9,1,oh k watch
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,22,3,eh u rememb 2 spell name ye v naughti make v wet
0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,14,2,fine thatåõ way u feel thatåõ way gota b
